"0000 0000"  	"0 	"   "00"	      "NUL"    "空字符"
"0000 0001"  	"1 	"   "01"	      "SOH"    "标题开始"
"0000 0010"  	"2 	"   "02"	      "STX"    "文本开始"
"0000 0011"  	"3 	"   "03"	      "ETX"    "文本结束"
"0000 0100"  	"4 	"   "04"	      "EOT"    "传输结束"
"0000 0101"  	"5 	"   "05"	      "ENQ"    "请求"
"0000 0110"  	"6 	"   "06"	      "ACK"    "确认响应"
"0000 0111"  	"7 	"   "07"	      "BEL"    "响铃"
"0000 1000"  	"8 	"   "08"	      "BS "    "退格"
"0000 1001"  	"9 	"   "09"	      "HT "    "水平制表符"
"0000 1010"  	"10	"   "0A"	      "LF "    "换行符"
"0000 1011"  	"11	"   "0B"	      "VT "    "垂直制表符"
"0000 1100"  	"12	"   "0C"	      "FF "    "换页符"
"0000 1101"  	"13	"   "0D"	      "CR "    "回车键"
"0000 1110"  	"14	"   "0E"	      "SO "    "取消变换（Shift out）"
"0000 1111"  	"15	"   "0F"	      "SI "    "启动变换（Shift in）"
"0001 0000"  	"16	"   "10"	      "DLE"    "数据链路转义"
"0001 0001"  	"17	"   "11"	      "DC1"    "设备控制一（XON 激活软件速度控制）"
"0001 0010"  	"18	"   "12"	      "DC2"    "设备控制二"
"0001 0011"  	"19	"   "13"	      "DC3"    "设备控制三（XOFF 停用软件速度控制）"
"0001 0100"  	"20	"   "14"	      "DC4"    "设备控制四"
"0001 0101"  	"21	"   "15"	      "NAK"    "拒绝接收"
"0001 0110"  	"22	"   "16"	      "SYN"    "同步空闲"
"0001 0111"  	"23	"   "17"	      "ETB"    "区块传输结束"
"0001 1000"  	"24	"   "18"	      "CAN"    "取消"
"0001 1001"  	"25	"   "19"	      "EM "    "连接介质中断"
"0001 1010"  	"26	"   "1A"	      "SUB"    "替换"
"0001 1011"  	"27	"   "1B"	      "ESC"    "退出键"
"0001 1100"  	"28	"   "1C"	      "FS "    "文件分区符"
"0001 1101"  	"29	"   "1D"	      "GS "    "组群分隔符"
"0001 1110"  	"30	"   "1E"	      "RS "    "记录分隔符"
"0001 1111"  	"31	"   "1F"	      "US "    "单元分隔符"
"0010 0000"  	"32	"   "20"	      "空格"    ""
"0010 0001"  	"33	"   "21"	      "!  "    ""
"0010 0010"  	"34	"   "22"	      " "    ""
"0010 0011"  	"35	"   "23"	      "#  "    ""
"0010 0100"  	"36	"   "24"	      "$  "    ""
"0010 0101"  	"37	"   "25"	      "%  "    ""
"0010 0110"  	"38	"   "26"	      "&  "    ""
"0010 0111"  	"39	"   "27"	      "'  "    ""
"0010 1000"  	"40	"   "28"	      "(  "    ""
"0010 1001"  	"41	"   "29"	      ")  "    ""
"0010 1010"  	"42	"   "2A"	      "*  "    ""
"0010 1011"  	"43	"   "2B"	      "+  "    ""
"0010 1100"  	"44	"   "2C"	      ",  "    ""
"0010 1101"  	"45	"   "2D"	      "-  "    ""
"0010 1110"  	"46	"   "2E"	      ".  "    ""
"0010 1111"  	"47	"   "2F"	      "/  "    ""
"0011 0000"  	"48	"   "30"	      "0  "    ""
"0011 0001"  	"49	"   "31"	      "1  "    ""
"0011 0010"  	"50	"   "32"	      "2  "    ""
"0011 0011"  	"51	"   "33"	      "3  "    ""
"0011 0100"  	"52	"   "34"	      "4  "    ""
"0011 0101"  	"53	"   "35"	      "5  "    ""
"0011 0110"  	"54	"   "36"	      "6  "    ""
"0011 0111"  	"55	"   "37"	      "7  "    ""
"0011 1000"  	"56	"   "38"	      "8  "    ""
"0011 1001"  	"57	"   "39"	      "9  "    ""
"0011 1010"  	"58	"   "3A"	      ":  "    ""
"0011 1011"  	"59	"   "3B"	      ";  "    ""
"0011 1100"  	"60	"   "3C"	      "<  "    ""
"0011 1101"  	"61	"   "3D"	      "=  "    ""
"0011 1110"  	"62	"   "3E"	      ">  "    ""
"0011 1111"  	"63	"   "3F"	      "?  "    ""
"0100 0000"  	"64	"   "40"	      "@  "    ""
"0100 0001"  	"65	"   "41"	      "A  "    ""
"0100 0010"  	"66	"   "42"	      "B  "    ""
"0100 0011"  	"67	"   "43"	      "C  "    ""
"0100 0100"  	"68	"   "44"	      "D  "    ""
"0100 0101"  	"69	"   "45"	      "E  "    ""
"0100 0110"  	"70	"   "46"	      "F  "    ""
"0100 0111"  	"71	"   "47"	      "G  "    ""
"0100 1000"  	"72	"   "48"	      "H  "    ""
